Numer indeksu,Kolokwium zestwa,Wynik pierwszego kolokwium
163104,Zestaw A,0pkt
162264,Zestaw B,21pkt
155274,Zestaw A,18pkt
155374,Zestaw B,-
154733,Zestaw A,20pkt
163097,Zestaw B,9pkt
163213,Zestaw A,-
163098,Zestaw B,0pkt
151220,Zestaw A,3pkt
155094,Zestaw B,13pkt
145798,Zestaw A,19pkt
143203,Zestaw B,17pkt
162272,Zestaw A,21pkt
162811,Zestaw B,3pkt
155384,Zestaw A,nie pisał
163100,Zestaw B,15pkt ?
158951,Zestaw A,13pkt
162378,Zestaw B,21pkt
162358,Zestaw A,14pkt
162813,Zestaw B,0pkt
162334,Zestaw A,17pkt
162420,Zestaw B,11pkt
162260,Zestaw A,14pkt
141298,Zestaw B,15pkt
